hand,rank1,rank2,suited,scenario,gto_action
AA,14,14,0,SB_RFI,raise
AA,14,14,0,BB_vs_RFI,raise
AA,14,14,0,SB_vs_3bet,raise
AKs,14,13,1,SB_RFI,raise
AKs,14,13,1,BB_vs_RFI,raise
AKs,14,13,1,SB_vs_3bet,raise
AKo,14,13,0,SB_RFI,raise
AKo,14,13,0,BB_vs_RFI,raise
AKo,14,13,0,SB_vs_3bet,raise
AQs,14,12,1,SB_RFI,raise
AQs,14,12,1,BB_vs_RFI,raise
AQs,14,12,1,SB_vs_3bet,call
AQo,14,12,0,SB_RFI,raise
AQo,14,12,0,BB_vs_RFI,call
AQo,14,12,0,SB_vs_3bet,call
AJs,14,11,1,SB_RFI,raise
AJs,14,11,1,BB_vs_RFI,raise
AJs,14,11,1,SB_vs_3bet,call
AJo,14,11,0,SB_RFI,raise
AJo,14,11,0,BB_vs_RFI,call
AJo,14,11,0,SB_vs_3bet,call
ATs,14,10,1,SB_RFI,raise
ATs,14,10,1,BB_vs_RFI,raise
ATs,14,10,1,SB_vs_3bet,call
ATo,14,10,0,SB_RFI,raise
ATo,14,10,0,BB_vs_RFI,call
ATo,14,10,0,SB_vs_3bet,call
A9s,14,9,1,SB_RFI,raise
A9s,14,9,1,BB_vs_RFI,call
A9s,14,9,1,SB_vs_3bet,call
A9o,14,9,0,SB_RFI,raise
A9o,14,9,0,BB_vs_RFI,call
A9o,14,9,0,SB_vs_3bet,call
A8s,14,8,1,SB_RFI,raise
A8s,14,8,1,BB_vs_RFI,call
A8s,14,8,1,SB_vs_3bet,call
A8o,14,8,0,SB_RFI,raise
A8o,14,8,0,BB_vs_RFI,call
A8o,14,8,0,SB_vs_3bet,fold
A7s,14,7,1,SB_RFI,raise
A7s,14,7,1,BB_vs_RFI,call
A7s,14,7,1,SB_vs_3bet,call
A7o,14,7,0,SB_RFI,raise
A7o,14,7,0,BB_vs_RFI,call
A7o,14,7,0,SB_vs_3bet,fold
A6s,14,6,1,SB_RFI,raise
A6s,14,6,1,BB_vs_RFI,call
A6s,14,6,1,SB_vs_3bet,call
A6o,14,6,0,SB_RFI,raise
A6o,14,6,0,BB_vs_RFI,fold
A6o,14,6,0,SB_vs_3bet,fold
A5s,14,5,1,SB_RFI,raise
A5s,14,5,1,BB_vs_RFI,raise
A5s,14,5,1,SB_vs_3bet,raise
A5o,14,5,0,SB_RFI,raise
A5o,14,5,0,BB_vs_RFI,fold
A5o,14,5,0,SB_vs_3bet,fold
