hand,rank1,rank2,suited,scenario,gto_action,agent_action,agent_raw,correct,fold_prob,call_prob,raise_prob
AA,14,14,0,SB_RFI,raise,raise,3,True,0.001714556710794568,0.0016273987712338567,0.9966580718755722
AA,14,14,0,BB_vs_RFI,raise,raise,3,True,0.0005273513961583376,0.0005289556575007737,0.998943630605936
AA,14,14,0,SB_vs_3bet,raise,raise,5,True,0.00018424321024212986,0.0012867703335359693,0.9985289722681046
AKs,14,13,1,SB_RFI,raise,raise,3,True,0.00028579754871316254,0.00022056454326957464,0.9994936399161816
AKs,14,13,1,BB_vs_RFI,raise,raise,3,True,0.00040512680425308645,0.0005893869092687964,0.9990055039525032
AKs,14,13,1,SB_vs_3bet,raise,raise,5,True,0.0005279502365738153,0.007079062517732382,0.9923929572105408
AKo,14,13,0,SB_RFI,raise,raise,3,True,0.000349381472915411,0.0002254754799650982,0.9994250759482384
AKo,14,13,0,BB_vs_RFI,raise,raise,3,True,0.0012196725001558661,0.0026788192335516214,0.9961015060544014
AKo,14,13,0,SB_vs_3bet,raise,raise,5,True,0.0022412906400859356,0.025988221168518066,0.9717704355716705
AQs,14,12,1,SB_RFI,raise,raise,3,True,0.002522032940760255,0.005495426710695028,0.9919824749231339
AQs,14,12,1,BB_vs_RFI,raise,raise,3,True,0.005559946410357952,0.024451110512018204,0.9699889719486237
AQs,14,12,1,SB_vs_3bet,call,raise,5,False,0.0001519484940217808,0.0010101714869961143,0.9988378509879112
AQo,14,12,0,SB_RFI,raise,raise,3,True,0.0005218314472585917,0.0004114227485843003,0.9990667961537838
AQo,14,12,0,BB_vs_RFI,call,raise,3,False,0.0007847445085644722,0.002499271184206009,0.9967160522937775
AQo,14,12,0,SB_vs_3bet,call,raise,5,False,0.00029007348348386586,0.0028289477340877056,0.9968809857964516
AJs,14,11,1,SB_RFI,raise,raise,3,True,0.0042493268847465515,0.007987725548446178,0.987762875854969
AJs,14,11,1,BB_vs_RFI,raise,raise,3,True,0.007290945854038,0.03251722827553749,0.9601917713880539
AJs,14,11,1,SB_vs_3bet,call,raise,5,False,0.006423090118914843,0.05590261518955231,0.9376743286848068
AJo,14,11,0,SB_RFI,raise,raise,3,True,0.009571544826030731,0.02778567001223564,0.9626427814364433
AJo,14,11,0,BB_vs_RFI,call,raise,3,False,0.005316126625984907,0.029796432703733444,0.964887410402298
AJo,14,11,0,SB_vs_3bet,call,raise,5,False,0.004720490891486406,0.06335479766130447,0.9319247305393219
ATs,14,10,1,SB_RFI,raise,raise,3,True,0.004502179566770792,0.00511413998901844,0.9903836324810982
ATs,14,10,1,BB_vs_RFI,raise,raise,4,True,0.001972449477761984,0.006842696573585272,0.9911848306655884
ATs,14,10,1,SB_vs_3bet,call,raise,5,False,0.001785256084986031,0.01239258237183094,0.9858221486210823
ATo,14,10,0,SB_RFI,raise,raise,3,True,0.017458992078900337,0.04625605419278145,0.9362848699092865
ATo,14,10,0,BB_vs_RFI,call,raise,1,False,0.013166340067982674,0.3395918309688568,0.647241935133934
ATo,14,10,0,SB_vs_3bet,call,raise,1,False,0.007981273345649242,0.44517770409584045,0.5468410551548004
A9s,14,9,1,SB_RFI,raise,raise,3,True,0.008765455335378647,0.026900140568614006,0.9643344506621361
A9s,14,9,1,BB_vs_RFI,call,raise,5,False,0.01610499992966652,0.15059104561805725,0.8333040028810501
A9s,14,9,1,SB_vs_3bet,call,raise,3,False,0.012100175954401493,0.06960134208202362,0.9182984977960587
A9o,14,9,0,SB_RFI,raise,raise,3,True,0.0173493605107069,0.03896784409880638,0.9436827600002289
A9o,14,9,0,BB_vs_RFI,call,raise,1,False,0.021128958091139793,0.27357640862464905,0.7052946835756302
A9o,14,9,0,SB_vs_3bet,call,raise,5,False,0.011351114138960838,0.25361043214797974,0.7350385263562202
A8s,14,8,1,SB_RFI,raise,raise,3,True,0.020915502682328224,0.033441316336393356,0.9456432834267616
A8s,14,8,1,BB_vs_RFI,call,raise,5,False,0.014622511342167854,0.17264629900455475,0.8127312213182449
A8s,14,8,1,SB_vs_3bet,call,raise,5,False,0.010619761422276497,0.21661972999572754,0.7727605253458023
A8o,14,8,0,SB_RFI,raise,raise,3,True,0.07020961493253708,0.07241575419902802,0.8573746029287577
A8o,14,8,0,BB_vs_RFI,call,raise,1,False,0.07142669707536697,0.2740689814090729,0.6545043103396893
A8o,14,8,0,SB_vs_3bet,fold,call,1,False,0.036617085337638855,0.5391724109649658,0.4242105558514595
A7s,14,7,1,SB_RFI,raise,raise,3,True,0.017339879646897316,0.035065263509750366,0.9475948661565781
A7s,14,7,1,BB_vs_RFI,call,raise,3,False,0.02772921696305275,0.11193570494651794,0.8603351414203644
A7s,14,7,1,SB_vs_3bet,call,raise,5,False,0.01307579968124628,0.18077845871448517,0.8061458170413971
A7o,14,7,0,SB_RFI,raise,raise,2,True,0.08188831061124802,0.16249096393585205,0.7556206285953522
A7o,14,7,0,BB_vs_RFI,call,raise,1,False,0.07600394636392593,0.3036373257637024,0.6203586831688881
A7o,14,7,0,SB_vs_3bet,fold,call,1,False,0.04680445045232773,0.5299182534217834,0.4232772886753082
A6s,14,6,1,SB_RFI,raise,raise,3,True,0.07035461813211441,0.0808437317609787,0.848801726475358
A6s,14,6,1,BB_vs_RFI,call,raise,1,False,0.0666503831744194,0.29895293712615967,0.6343966610729694
A6s,14,6,1,SB_vs_3bet,call,call,1,True,0.04350068420171738,0.5128816962242126,0.4436175525188446
A6o,14,6,0,SB_RFI,raise,raise,2,True,0.11369866877794266,0.10976047068834305,0.7765408977866173
A6o,14,6,0,BB_vs_RFI,fold,call,1,False,0.0798804759979248,0.4865330457687378,0.4335865583270788
A6o,14,6,0,SB_vs_3bet,fold,call,1,False,0.03358140587806702,0.7630752921104431,0.20334328711032867
A5s,14,5,1,SB_RFI,raise,raise,3,True,0.12611529231071472,0.07683442533016205,0.7970503205433488
