hand,rank1,rank2,suited,scenario,gto_action,agent_action,agent_raw,correct,fold_prob,call_prob,raise_prob
AA,14,14,0,SB_RFI,raise,raise,2,True,2.2441529381467262e-06,2.1011596800235566e-06,0.9999956637620926
AA,14,14,0,BB_vs_RFI,raise,raise,2,True,1.3020688811593573e-06,3.243636683691875e-06,0.9999953806400299
AA,14,14,0,SB_vs_3bet,raise,raise,5,True,1.6059536278589803e-07,4.6781624405412e-06,0.9999951533973217
AKs,14,13,1,SB_RFI,raise,raise,2,True,0.0030560630839318037,0.010121829807758331,0.9868221431970596
AKs,14,13,1,BB_vs_RFI,raise,raise,5,True,0.0013890210539102554,0.026780717074871063,0.971830204129219
AKs,14,13,1,SB_vs_3bet,raise,raise,5,True,0.0014569455524906516,0.052449505776166916,0.9460935890674591
AKo,14,13,0,SB_RFI,raise,raise,2,True,0.0007969739381223917,0.001980915665626526,0.9972221553325653
AKo,14,13,0,BB_vs_RFI,raise,raise,2,True,0.00046771031338721514,0.0045993272215127945,0.9949329346418381
AKo,14,13,0,SB_vs_3bet,raise,raise,5,True,0.0024352213367819786,0.06823256611824036,0.9293322190642357
AQs,14,12,1,SB_RFI,raise,raise,2,True,0.0025563000235706568,0.0031491597183048725,0.9942945800721645
AQs,14,12,1,BB_vs_RFI,raise,raise,2,True,0.0001244282757397741,0.0007895875023677945,0.9990860819816589
AQs,14,12,1,SB_vs_3bet,call,raise,5,False,0.0010786427883431315,0.05634184554219246,0.9425795301795006
AQo,14,12,0,SB_RFI,raise,raise,2,True,0.001473079202696681,0.0037085425574332476,0.9948183745145798
AQo,14,12,0,BB_vs_RFI,call,raise,2,False,7.625186844961718e-05,0.0008915486396290362,0.9990322291851044
AQo,14,12,0,SB_vs_3bet,call,raise,5,False,0.0004309012438170612,0.023235905915498734,0.9763331413269043
AJs,14,11,1,SB_RFI,raise,raise,2,True,0.003632595296949148,0.014808633364737034,0.9815588966012001
AJs,14,11,1,BB_vs_RFI,raise,raise,2,True,0.003864848054945469,0.03023916855454445,0.9658959805965424
AJs,14,11,1,SB_vs_3bet,call,raise,5,False,0.007214064709842205,0.13760848343372345,0.8551774621009827
AJo,14,11,0,SB_RFI,raise,raise,2,True,0.014664235524833202,0.11998118460178375,0.8653545752167702
AJo,14,11,0,BB_vs_RFI,call,raise,2,False,0.022496869787573814,0.2238919585943222,0.7536111921072006
AJo,14,11,0,SB_vs_3bet,call,raise,5,False,0.0038506134878844023,0.20799441635608673,0.7881549149751663
